id,gender,age in 1st year,age at graduation,ethnicity,GPA 1st Year,GPA 2nd Year,GPA 3rd Year,GPA 4th Year,GPA - 5th Year,Job Placement - 3rd Year,Job Placement - 4th Year,Job Placement - 5th Year,Year of Graduation
18c51b50-9818-5a08-868b-262c0a12afbe,M,18,21,CAUCASN,3.19,3.19,2.9,3.19,,,Yes,,4th Year
19467f90-7209-5896-b9cf-e71f1b45df7f,M,18,21,ASIAN,3.27,3.27,3.27,3.25,,,Yes,,4th Year
19813fca-23ad-5635-865e-37c96c6ada66,M,18,21,ASIAN,3.29,3.29,3.29,3.29,,,,,4th Year
199b2b21-3f63-557b-950f-69392458f018,F,18,21,ASIAN,3.6,3.6,3.6,3.6,,,,,4th Year
19d6a7d4-bcf9-5abf-a83b-a3025cebe4dd,M,18,21,HISPANIC LATINO AMER,3.1,3.1,2.91,3.1,,,,,4th Year
19f36207-cf08-5b61-b771-1cb9041d5773,M,18,21,HISPANIC LATINO AMER,3.19,3.19,2.92,3.19,,,Yes,,4th Year
19ff1bf4-5815-59d5-8c4c-1a42d0023f37,F,18,21,ASIAN,3.3,3.3,3.3,3.3,,,,,4th Year
1a241423-5e77-52f3-8ea3-c7cbfb69a2ed,M,18,21,CAUCASN,3.33,3.33,3.33,3.33,,,,,4th Year
1a9e296c-33a0-5c5b-ad7d-c3961a555d03,M,18,21,ASIAN,3.02,2.63,2.63,3.02,,,,,4th Year
1ad48cf8-6a9f-5b1e-9713-f6cf1d6d3ea2,M,18,21,ASIAN,3.59,3.59,3.59,3.59,,,,,4th Year
1b17e04b-2d77-501b-b912-711f66bc87a5,F,18,21,CAUCASN,3.71,3.55,3.55,3.71,,,Yes,,4th Year
1b72e5b7-434c-5d4c-8e1a-3d2cece4a933,F,18,21,HISPANIC LATINO AMER,2.83,2.83,2.83,3.05,,,Yes,,4th Year
1b777896-7801-59f0-949f-c5d1e388e05f,M,18,21,ASIAN,3.09,3.09,3.09,3.09,,,,,4th Year
1b85b597-b574-5f27-8fab-ce5827cb8de6,M,18,21,CAUCASN,3,2.81,3,3,,,Yes,,4th Year
1c29763f-5438-5b52-81ed-bb9d940c18cc,F,18,21,ASIAN,3.89,3.72,3.72,3.89,,,,,4th Year
1c6b9db1-f0d1-5bc7-8019-12f11b2e504f,M,18,21,CAUCASN,3.4,3.4,3.4,3.4,,,Yes,,4th Year
1c86391f-6ac8-5cfc-b8ed-5712d3e271b6,F,18,21,ASIAN,3.63,3.34,3.34,3.63,,,Yes,,4th Year
1ce8ba2a-c5d5-5f1a-aedb-bce13b1cd37c,F,18,21,HISPANIC LATINO AMER,3.86,3.86,3.86,3.62,,,Yes,,4th Year
1d3e98d4-ab24-5668-aeae-22a08956afef,M,18,21,AFRO-AM,2.81,2.81,2.81,3.08,,,Yes,,4th Year
1d97a830-ae53-53fd-b600-dcee9fda87b6,M,18,21,ASIAN,3.75,3.59,3.59,3.75,,,Yes,,4th Year
1e0e4e4a-f645-56d3-b924-58df5ee413f8,M,18,21,ASIAN,3.39,3.2,3.2,3.39,,,,,4th Year
